theta,effect
-0.0756,-0.16677601628735328
-0.0754,-0.16757601628735333
-0.0752,-0.16837601628735335
-0.075,-0.16917601628735326
-0.0748,-0.16997601628735332
-0.0746,-0.17077601628735334
-0.0744,-0.1715760162873535
-0.0742,-0.1723760162873533
-0.074,-0.17317601628735346
-0.0738,-0.17397601628735324
-0.0736,-0.17477601628735343
-0.07339999999999999,-0.17557601628735334
-0.0732,-0.1763760162873536
-0.073,-0.17717601628735327
-0.0728,-0.17797601628735343
-0.0726,-0.17877601628735335
-0.0724,-0.17957601628735326
-0.0722,-0.18037601628735342
-0.072,-0.18117601628735322
-0.0718,-0.18197601628735338
-0.0716,-0.1827760162873533
-0.0714,-0.18357601628735334
-0.0712,-0.18437601628735337
-0.071,-0.18517601628735328
-0.0708,-0.18597601628735333
-0.0706,-0.18677601628735335
-0.0704,-0.1875760162873534
-0.0702,-0.18837601628735343
-0.06999999999999999,-0.18917601628735334
-0.0698,-0.1899760162873534
-0.0696,-0.19077601628735344
-0.0694,-0.19157601628735335
-0.0692,-0.19237601628735326
-0.069,-0.19317601628735354
-0.0688,-0.1939760162873532
-0.0686,-0.19477601628735336
-0.0684,-0.19557601628735352
-0.0682,-0.19637601628735318
-0.068,-0.19717601628735335
-0.0678,-0.19797601628735326
-0.0676,-0.1987760162873533
-0.0674,-0.19957601628735336
-0.0672,-0.20037601628735338
-0.067,-0.2011760162873533
-0.0668,-0.20197601628735334
-0.06659999999999999,-0.20277601628735337
-0.0664,-0.20357601628735342
-0.0662,-0.20437601628735344
-0.066,-0.20517601628735335
-0.0658,-0.20597601628735326
-0.0656,-0.20677601628735331
-0.0654,-0.20757601628735337
-0.0652,-0.20837601628735353
-0.065,-0.2091760162873533
-0.0648,-0.20997601628735346
-0.0646,-0.21077601628735312
-0.0644,-0.21157601628735329
-0.0642,-0.21237601628735345
-0.064,-0.2131760162873531
-0.0638,-0.2139760162873534
-0.0636,-0.21477601628735332
-0.0634,-0.21557601628735348
-0.06319999999999999,-0.21637601628735328
-0.063,-0.2171760162873533
-0.0628,-0.21797601628735322
-0.0626,-0.21877601628735327
-0.0624,-0.21957601628735343
-0.062200000000000005,-0.22037601628735345
-0.062,-0.22117601628735337
-0.061799999999999994,-0.22197601628735342
-0.0616,-0.2227760162873532
-0.061399999999999996,-0.22357601628735338
-0.061200000000000004,-0.2243760162873533
-0.061,-0.22517601628735356
-0.06079999999999999,-0.22597601628735323
-0.0606,-0.2267760162873534
-0.060399999999999995,-0.22757601628735355
-0.060200000000000004,-0.2283760162873532
-0.06,-0.22917601628735337
-0.05979999999999999,-0.22997601628735342
-0.0596,-0.23077601628735334
-0.059399999999999994,-0.2315760162873534
-0.0592,-0.2323760162873534
-0.059,-0.23317601628735332
-0.058800000000000005,-0.23397601628735323
-0.0586,-0.23477601628735328
