month,days,idx_fut,stk_fut,idxopt_prem,idxopt_notional,stkopt_prem,stkopt_notional,idx_fut_adt,stk_fut_adt,idxopt_prem_adt,idxopt_notional_adt,stkopt_prem_adt,stkopt_notional_adt,cash_days,cash_turnover,cash_adt
2023-12,20.0,664523.89,2524106.96,1236526.1684457767,744429909.9200001,180315.169835905,10175954.120000001,33226.1945,126205.348,61826.308422288836,37221495.49600001,9015.75849179525,508797.70600000006,20.0,2079594.24,103979.71
2024-01,22.0,848628.83,2941230.58,1500376.00676496,871959571.989999,177503.47883655503,10218202.059999991,38574.03772727273,133692.2990909091,68198.90939840727,39634525.99954541,8068.339947116138,464463.7299999996,22.0,2491180.81,113235.49
2024-02,21.0,839361.06,2969909.39,1505500.0,845211353.009999,172160.0,10434751.370000001,39969.57428571429,141424.25666666668,71690.47619047618,40248159.66714281,8198.095238095239,496892.92238095246,21.0,2457671.08,117031.96
2024-03,19.0,725716.5426188499,2645364.4538546354,1127679.311115853,709793535.6526034,126668.67590177999,8672454.066047661,38195.607506255255,139229.7080976124,59351.54269030805,37357554.508031756,6666.772415883158,456444.9508446137,19.0,1857038.97,97738.89
2024-04,20.0,693063.8542382249,3158915.04780697,1084602.245234079,707237363.960547,155942.71922768498,9921344.732819185,34653.192711911244,157945.7523903485,54230.11226170395,35361868.19802735,7797.135961384249,496067.2366409592,20.0,2120195.52,106009.78
2024-05,22.0,806652.3009712249,3464429.8983681006,1284787.9956707128,715356509.4083462,186613.310189425,11034694.055540426,36666.01368051022,157474.0862894591,58399.45434866876,32516204.973106645,8482.42319042841,501577.0025245648,22.0,2467941.43,112179.16
2024-06,19.0,983344.4416885249,3662528.41018657,1486307.768240018,722615027.6235524,191369.90132996,11176801.097751712,51754.97061518552,192764.65316771422,78226.72464421147,38032369.87492381,10072.100069997896,588252.6893553532,19.0,2905226.46,152906.66
2024-07,22.0,825104.3994601,3831730.123181831,1312196.4924889859,821487304.729602,197876.95435740496,11927530.975385044,37504.74543000454,174169.5510537196,59645.29511313572,37340332.03316373,8994.40701624568,542160.4988811384,22.0,3061576.73,139162.58
2024-08,21.0,752883.0,3366229.0,1218678.0,776808851.0,161998.0,11639361.0,35851.57142857143,160296.61904761905,58032.28571428572,36990897.666666664,7714.190476190476,554255.2857142857,21.0,2638156.99,125626.52
2024-09,21.0,712659.2373343001,3414779.177032111,1136672.521390564,809748226.901691,174393.34221874498,12883957.441199996,33936.1541587762,162608.53223962436,54127.26292336019,38559439.376270995,8304.444867559285,613521.7829142855,21.0,2559376.04,121875.05
2024-10,22.0,761217.6378791251,3343153.19765741,1367433.319788699,860158771.4249389,171991.40657752997,12468853.780024529,34600.801721778415,151961.50898442772,62156.05999039541,39098125.97386086,7817.791208069544,566766.0809102058,22.0,2353098.35,106959.02
2024-11,19.0,634368.011882275,2616407.0136084366,1031501.6368255729,624485162.9195507,127496.72577369999,9052598.38830425,33387.790099067104,137705.63229518087,54289.55983292489,32867640.153660562,6710.353988089473,476452.5467528553,19.0,1916209.71,100853.14
2024-12,21.0,633443.8813500002,2664568.681879999,960115.80579,425754313.04399997,141750.155763,10424707.20232,30163.994350000008,126884.22294666662,45719.80027571429,20274014.90685714,6750.007417285714,496414.62868190475,21.0,2185829.74,104087.13
2025-01,23.0,714628.088951775,3079845.13833649,1038532.983233551,425374476.0779087,191949.49039177003,12417066.102298694,31070.78647616413,133906.31036245608,45153.60796667613,18494542.438169945,8345.63001703348,539872.439230378,23.0,2211850.96,96167.43
2025-02,20.0,648505.971289475,2544196.8184492025,809582.671136451,356156140.2624365,148471.55981432,9599222.68095882,32425.29856447375,127209.84092246012,40479.13355682255,17807807.013121825,7423.577990716,479961.134047941,20.0,1833226.19,91661.31
2025-03,19.0,586218.33,2390586.99,844112.04,413372807.05,125338.90435645985,8571189.523397341,30853.596315789473,125820.36789473686,44426.94947368421,21756463.52894737,6596.784439813677,451115.2380735443,19.0,1875160.0,98693.0
2025-04,19.0,716860.1163922752,2660014.7664488284,951969.4846975001,423922195.70419765,152925.22133894998,8954214.9302582,37729.479810119745,140000.77718151727,50103.65708934211,22311694.510747243,8048.695859944736,471274.4700135894,19.0,1906257.2586025442,100329.32940013391
2025-05,21.0,802209.5652561999,2731553.0165768825,1085911.425630925,450325252.4506812,165480.869784315,10293641.389445871,38200.45548839047,130073.95317032773,51710.0678871869,21444059.64050863,7880.041418300714,490173.39949742245,21.0,2332567.89,111074.66
